manufacturer,model,engine_size,fuel_type,year_of_manufacture,mileage,price
VW,Golf,1.2,Hybrid,1987,196325,1019.0
Ford,Focus,1.6,Diesel,1995,171184,2595.0
Ford,Fiesta,1.0,Petrol,2001,103649,3442.0
Ford,Fiesta,1.0,Petrol,1996,225409,895.0
Toyota,Yaris,1.2,Hybrid,2008,121178,7321.0
Porsche,718 Cayman,2.0,Petrol,2008,13491,26761.0
Toyota,Prius,1.0,Hybrid,2006,89783,9596.0
VW,Polo,1.4,Petrol,2022,4621,31629.0
Ford,Mondeo,1.8,Diesel,2018,13412,38564.0
VW,Passat,1.6,Diesel,1991,259579,944.0
VW,Polo,1.0,Diesel,2014,37000,13772.0
BMW,M5,5.0,Petrol,2012,98375,48073.0
Ford,Mondeo,1.4,Diesel,2021,12279,41792.0
Toyota,Prius,1.4,Hybrid,1999,180834,3464.0
Ford,Focus,1.4,Petrol,1997,56206,6273.0
Toyota,Yaris,1.2,Petrol,1990,194212,1004.0
VW,Passat,1.8,Diesel,1994,158716,2993.0
VW,Passat,1.4,Diesel,1999,75318,6947.0
Toyota,Yaris,1.0,Petrol,1985,242796,424.0
VW,Passat,1.4,Diesel,1984,258807,558.0
Toyota,Yaris,1.2,Hybrid,2005,75279,8367.0
Ford,Fiesta,1.4,Petrol,1993,233233,807.0
BMW,M5,4.0,Petrol,1992,174163,6209.0
VW,Passat,2.0,Diesel,2011,29546,24631.0
Toyota,RAV4,1.8,Hybrid,2005,85432,14598.0
VW,Polo,1.6,Petrol,1999,96326,4126.0
BMW,Z4,3.0,Petrol,1986,285750,728.0
VW,Golf,1.4,Diesel,1997,242850,1234.0
Toyota,RAV4,1.8,Hybrid,2000,117028,8297.0
Ford,Fiesta,1.2,Hybrid,2012,47242,13821.0
Toyota,Yaris,1.4,Hybrid,2002,88744,6739.0
Toyota,Yaris,1.4,Petrol,2017,34466,21707.0
Ford,Mondeo,1.4,Diesel,2017,20603,30600.0
Ford,Fiesta,1.2,Diesel,1998,137567,2497.0
Toyota,Prius,1.8,Hybrid,1991,243961,1312.0
Ford,Fiesta,1.2,Petrol,1993,132444,1775.0
VW,Polo,1.2,Petrol,1989,238914,558.0
Toyota,Prius,1.4,Hybrid,2007,116169,9993.0
VW,Golf,1.2,Petrol,2004,95124,5970.0
Toyota,RAV4,1.8,Hybrid,2003,134827,8822.0
VW,Polo,1.2,Petrol,1992,180870,1142.0
VW,Golf,1.6,Diesel,2019,25465,30839.0
Porsche,718 Cayman,2.4,Petrol,2011,39671,30875.0
VW,Polo,1.2,Petrol,2016,45773,15573.0
Ford,Fiesta,1.0,Petrol,2004,64955,5510.0
Porsche,Cayenne,3.5,Petrol,2011,54382,40326.0
Porsche,718 Cayman,4.0,Petrol,2017,18825,67002.0
VW,Golf,2.0,Petrol,2006,131291,6701.0
Ford,Mondeo,1.8,Diesel,2005,126391,7655.0
Toyota,Yaris,1.0,Hybrid,2015,39023,18755.0
Toyota,Yaris,1.0,Petrol,1999,200371,1583.0
Ford,Focus,1.6,Petrol,2001,127032,5286.0
VW,Golf,2.0,Petrol,2010,29460,17617.0
VW,Golf,1.6,Petrol,1988,200415,1011.0
Ford,Focus,1.6,Petrol,1991,293339,625.0
Toyota,RAV4,2.2,Hybrid,2018,20674,57683.0
VW,Polo,1.0,Petrol,2017,49485,14852.0
Toyota,Prius,1.0,Hybrid,2021,6380,43617.0
Toyota,Yaris,1.4,Hybrid,1994,233230,1199.0
Toyota,Yaris,1.2,Hybrid,2017,56308,21101.0
Ford,Mondeo,1.6,Petrol,2007,44750,13902.0
Ford,Fiesta,1.0,Petrol,2015,50794,12562.0
Ford,Fiesta,1.4,Petrol,1993,202161,1067.0
BMW,M5,4.4,Petrol,2007,134283,24583.0
Ford,Fiesta,1.2,Petrol,2015,37351,14933.0
VW,Golf,1.8,Petrol,1993,147656,2343.0
Porsche,718 Cayman,2.4,Petrol,2003,118686,10532.0
Toyota,Prius,1.0,Hybrid,2002,188176,3356.0
Toyota,RAV4,2.2,Hybrid,2022,5984,81448.0
VW,Polo,1.2,Petrol,2008,62128,8239.0
VW,Golf,1.8,Petrol,1988,155025,1581.0
Ford,Fiesta,1.2,Diesel,1992,66401,2820.0
BMW,Z4,3.0,Petrol,1986,156252,2323.0
BMW,Z4,2.2,Petrol,1996,143229,4310.0
Toyota,Yaris,1.4,Hybrid,1999,150489,3437.0
BMW,M5,5.0,Petrol,2014,31728,85043.0
Ford,Mondeo,1.6,Diesel,2012,48230,19941.0
Ford,Fiesta,1.0,Petrol,2002,104845,3647.0
Porsche,718 Cayman,4.0,Petrol,2014,43074,47698.0
VW,Polo,1.2,Petrol,1996,150164,1929.0
BMW,Z4,2.2,Petrol,2010,64383,19585.0
Ford,Focus,1.0,Petrol,2018,20333,26610.0
Ford,Mondeo,1.8,Petrol,1992,148698,2564.0
Ford,Mondeo,1.8,Diesel,2012,75974,17659.0
VW,Golf,1.8,Diesel,2018,45053,27276.0
VW,Passat,1.6,Diesel,1998,161260,3607.0
Ford,Focus,1.8,Petrol,2002,174544,4063.0
VW,Passat,1.6,Diesel,2015,45897,26105.0
Toyota,Yaris,1.2,Hybrid,2001,209686,2189.0
VW,Passat,1.4,Diesel,2002,203702,3058.0
Ford,Focus,1.6,Diesel,1992,230026,1266.0
VW,Passat,1.6,Petrol,1992,169812,2143.0
Toyota,RAV4,2.0,Hybrid,2017,40733,45836.0
Toyota,RAV4,1.8,Petrol,1987,373499,286.0
Ford,Mondeo,1.8,Petrol,2019,31813,35440.0
Ford,Fiesta,1.4,Petrol,1995,151980,1871.0
VW,Golf,1.4,Diesel,1992,162610,1794.0
Ford,Fiesta,1.0,Petrol,2002,153564,2490.0
Ford,Fiesta,1.4,Petrol,2002,131404,3522.0
Toyota,Yaris,1.0,Petrol,2006,117898,4998.0
Porsche,911,3.5,Petrol,2000,157266,13499.0
VW,Passat,2.0,Petrol,2013,49574,23780.0
Ford,Fiesta,1.2,Petrol,2000,79824,4182.0
Toyota,RAV4,2.4,Hybrid,2003,66835,16746.0
Toyota,RAV4,2.2,Hybrid,1995,115970,6626.0
VW,Polo,1.0,Petrol,2020,12687,22430.0
VW,Passat,1.6,Petrol,1992,151956,2487.0
BMW,X3,2.4,Diesel,2020,15676,58789.0
Toyota,Prius,1.0,Hybrid,2018,22049,32836.0
Toyota,RAV4,2.4,Hybrid,1995,212988,3079.0
VW,Golf,1.4,Petrol,2014,45574,17491.0
Toyota,Yaris,1.2,Petrol,2011,76626,10307.0
BMW,X3,2.0,Diesel,1988,146510,2588.0
Ford,Fiesta,1.4,Petrol,2019,25920,22499.0
Ford,Fiesta,1.2,Petrol,1985,212699,527.0
Toyota,RAV4,2.2,Hybrid,2010,101734,20035.0
BMW,Z4,2.2,Petrol,2019,17598,47266.0
Porsche,911,2.6,Petrol,2018,41906,89189.0
Toyota,Prius,1.0,Hybrid,1999,75553,6643.0
VW,Passat,1.8,Diesel,2007,56895,15163.0
Porsche,Cayenne,3.0,Petrol,2003,127218,13052.0
VW,Golf,2.0,Petrol,1992,203577,1435.0
VW,Passat,2.0,Diesel,1997,89855,6568.0
Toyota,RAV4,1.8,Hybrid,2011,50411,27472.0
VW,Golf,2.0,Petrol,1997,42301,6866.0
VW,Golf,1.4,Petrol,1998,185709,2095.0
Ford,Mondeo,1.8,Diesel,2004,70020,10784.0
VW,Golf,1.8,Petrol,2008,77914,10776.0
VW,Passat,1.6,Diesel,2011,70780,17043.0
VW,Polo,1.6,Diesel,1999,108730,3955.0
VW,Golf,1.4,Petrol,2020,30789,28490.0
Ford,Mondeo,1.6,Diesel,2020,19116,40283.0
Toyota,Yaris,1.0,Petrol,1992,279006,483.0
Ford,Focus,1.4,Diesel,2016,46179,24891.0
Ford,Focus,1.4,Petrol,1992,133906,2571.0
Ford,Focus,1.6,Petrol,2018,32042,31505.0
Ford,Focus,1.0,Petrol,2016,37400,21124.0
Toyota,Yaris,1.2,Petrol,2001,96760,4592.0
Toyota,Prius,1.4,Hybrid,2017,36135,33532.0
VW,Polo,1.6,Petrol,1987,237481,571.0
VW,Polo,1.2,Diesel,1989,122306,1586.0
BMW,M5,5.0,Petrol,1998,190572,8992.0
VW,Polo,1.2,Petrol,2002,180951,2223.0
BMW,Z4,2.0,Petrol,2013,64661,22767.0
Toyota,RAV4,2.4,Hybrid,1990,238852,1746.0
Ford,Fiesta,1.0,Petrol,1996,142155,1831.0
Toyota,Yaris,1.2,Petrol,2011,102198,8597.0
Ford,Fiesta,1.4,Petrol,1995,135939,2131.0
Ford,Fiesta,1.0,Petrol,1988,332898,191.0
Ford,Focus,1.6,Petrol,2001,179940,3422.0
Toyota,Yaris,1.0,Petrol,1999,172516,2014.0
Toyota,RAV4,2.2,Hybrid,2013,22804,40846.0
VW,Golf,1.8,Petrol,2014,29705,21790.0
VW,Golf,2.0,Diesel,1985,292055,418.0
Ford,Mondeo,1.8,Petrol,2018,64359,27116.0
Ford,Fiesta,1.4,Petrol,1994,148135,1807.0
VW,Golf,1.4,Diesel,1994,180359,1764.0
BMW,X3,2.0,Petrol,2010,64988,19530.0
VW,Passat,1.8,Diesel,2006,88946,11428.0
Ford,Focus,2.0,Diesel,2012,49957,22260.0
VW,Polo,1.6,Petrol,2020,14927,28035.0
Porsche,718 Cayman,2.4,Petrol,1990,208018,2102.0
Ford,Mondeo,1.4,Diesel,1991,128073,2620.0
Ford,Fiesta,1.2,Diesel,2005,146658,3701.0
Toyota,RAV4,1.8,Hybrid,2018,24627,51041.0
Toyota,Prius,1.0,Hybrid,2016,31274,27275.0
Ford,Focus,1.6,Petrol,2008,129886,8244.0
Toyota,Prius,1.4,Hybrid,2011,78916,17097.0
BMW,X3,3.0,Diesel,2009,66372,23282.0
Toyota,Yaris,1.0,Hybrid,1999,229399,1465.0
Toyota,Yaris,1.4,Petrol,2019,20363,26872.0
Toyota,RAV4,1.8,Hybrid,2001,56996,13530.0
VW,Golf,1.6,Petrol,1988,210863,921.0
Toyota,Prius,1.8,Hybrid,1991,225001,1559.0
Ford,Mondeo,1.8,Diesel,2013,51866,22103.0
Ford,Fiesta,1.0,Petrol,2006,92973,5193.0
Ford,Focus,1.0,Petrol,2019,39502,25480.0
Ford,Fiesta,1.2,Petrol,2000,52030,5023.0
Toyota,Yaris,1.4,Hybrid,2001,277134,1273.0
VW,Golf,1.8,Hybrid,1993,228486,1397.0
VW,Polo,1.6,Petrol,2003,78432,6112.0
Ford,Mondeo,1.6,Hybrid,1999,178160,3616.0
Ford,Mondeo,1.4,Diesel,2000,183764,3015.0
VW,Passat,1.8,Diesel,2006,107320,9998.0
Toyota,Prius,1.4,Hybrid,2013,120648,14405.0
VW,Golf,1.8,Diesel,1997,287562,922.0
Ford,Fiesta,1.0,Petrol,2017,49108,14505.0
Ford,Fiesta,1.2,Petrol,2012,85507,8948.0
Toyota,Prius,1.0,Hybrid,2017,45438,26800.0
VW,Golf,1.6,Diesel,2002,126830,4992.0
Toyota,Prius,1.4,Hybrid,1993,165530,2644.0
VW,Polo,1.6,Petrol,2008,90199,7857.0
VW,Passat,2.0,Petrol,1998,122329,5254.0
Ford,Mondeo,1.6,Diesel,2000,96856,6459.0
Ford,Focus,1.4,Diesel,2018,37174,30027.0
VW,Polo,1.0,Petrol,1996,160182,1621.0
Ford,Fiesta,1.2,Diesel,1996,101781,2876.0
VW,Polo,1.0,Diesel,2012,76511,9368.0
Ford,Mondeo,2.0,Petrol,2001,183712,3670.0
VW,Golf,1.2,Hybrid,1995,108051,3576.0
BMW,X3,2.4,Diesel,2014,53701,31540.0
BMW,Z4,2.2,Petrol,1993,142510,3549.0
Ford,Fiesta,1.2,Petrol,1992,168311,1238.0
Ford,Focus,1.8,Diesel,2020,23650,42052.0
Toyota,Yaris,1.4,Hybrid,1996,139416,3078.0
BMW,X3,2.0,Diesel,1992,163274,2943.0
VW,Passat,2.0,Diesel,1995,129986,4255.0
Ford,Focus,1.6,Petrol,2015,57794,22042.0
VW,Passat,1.4,Diesel,2004,118428,7096.0
Toyota,RAV4,2.0,Hybrid,1992,214679,2267.0
VW,Polo,1.2,Petrol,2004,134685,3726.0
VW,Passat,1.8,Diesel,1993,187906,2185.0
Toyota,Yaris,1.2,Petrol,2016,53808,16713.0
Ford,Fiesta,1.4,Petrol,1987,300368,289.0
Ford,Mondeo,1.4,Diesel,2019,27677,33606.0
Ford,Focus,1.6,Petrol,2015,46483,23663.0
Toyota,RAV4,2.0,Hybrid,2015,72561,32746.0
Ford,Focus,1.6,Petrol,2012,88905,14627.0
Ford,Mondeo,1.6,Diesel,2018,34419,32327.0
VW,Polo,1.6,Petrol,2005,148387,4119.0
VW,Polo,1.4,Diesel,2014,62309,13923.0
Toyota,Prius,1.0,Hybrid,2016,40339,25858.0
Ford,Focus,1.6,Petrol,2016,7469,31555.0
Ford,Fiesta,1.2,Petrol,2000,102710,3552.0
Ford,Fiesta,1.2,Petrol,2003,84771,4936.0
Toyota,Prius,1.4,Hybrid,1991,229196,1324.0
BMW,Z4,3.0,Petrol,2022,7052,71296.0
BMW,Z4,2.0,Petrol,2006,65735,14176.0
Ford,Focus,1.8,Petrol,2015,51817,24282.0
Ford,Mondeo,1.8,Diesel,2012,54524,20334.0
Toyota,Yaris,1.4,Hybrid,2005,149198,5182.0
Toyota,RAV4,2.2,Petrol,1993,129277,4360.0
Ford,Fiesta,1.4,Petrol,2016,38738,17101.0
Ford,Mondeo,1.8,Diesel,2012,49068,21041.0
BMW,M5,5.0,Petrol,2013,78376,59197.0
Ford,Fiesta,1.2,Petrol,2016,33108,16366.0
Porsche,718 Cayman,4.0,Petrol,2020,9523,86016.0
VW,Passat,1.6,Diesel,2004,131282,6864.0
Ford,Fiesta,1.2,Petrol,1988,223383,585.0
Ford,Mondeo,1.8,Diesel,1987,63161,3633.0
VW,Golf,1.4,Petrol,2011,6048,17896.0
VW,Polo,1.6,Petrol,2018,32885,22190.0
VW,Passat,1.4,Diesel,2016,42738,26609.0
VW,Polo,1.2,Petrol,1995,244500,790.0
Toyota,Prius,1.0,Hybrid,2017,45044,26864.0
Ford,Mondeo,1.6,Diesel,1999,247169,1709.0
VW,Polo,1.6,Petrol,1995,132637,2400.0
VW,Golf,2.0,Diesel,2008,119625,8803.0
VW,Golf,2.0,Diesel,2009,118097,9521.0
Toyota,Prius,1.8,Hybrid,2001,119502,7404.0
Toyota,Prius,1.4,Hybrid,2012,113308,14253.0
Toyota,RAV4,2.2,Petrol,1996,219228,2483.0
VW,Passat,1.4,Diesel,2002,152446,4739.0
BMW,Z4,2.4,Petrol,1991,205086,1907.0
Ford,Focus,1.6,Petrol,2017,38099,28444.0
VW,Golf,2.0,Hybrid,1989,417162,185.0
Porsche,718 Cayman,4.0,Petrol,2016,17571,63111.0
BMW,Z4,3.0,Petrol,2001,106468,9345.0
Porsche,718 Cayman,2.0,Petrol,2000,135354,6911.0
Toyota,RAV4,2.4,Hybrid,2000,98812,10976.0
Ford,Fiesta,1.2,Petrol,2006,100819,5374.0
BMW,X3,2.4,Diesel,2007,55165,19596.0
Toyota,Prius,1.0,Hybrid,1987,242443,759.0
Ford,Mondeo,1.6,Hybrid,1991,164626,2379.0
Porsche,Cayenne,3.5,Diesel,1999,84160,15601.0
BMW,M5,5.0,Petrol,1998,152388,12426.0
VW,Golf,1.6,Petrol,2019,23440,29706.0
Toyota,Yaris,1.0,Petrol,2011,13423,13834.0
VW,Golf,1.4,Petrol,2005,80876,7624.0
BMW,M5,5.0,Petrol,1988,149997,6506.0
Ford,Mondeo,1.6,Diesel,1994,193514,1985.0
Ford,Mondeo,2.0,Hybrid,2001,110561,7973.0
VW,Golf,1.4,Petrol,2012,78738,12338.0
BMW,X3,2.4,Diesel,2002,137925,7727.0
VW,Golf,1.2,Diesel,2003,128881,4547.0
VW,Passat,1.4,Petrol,2002,139255,5023.0
Toyota,RAV4,1.8,Petrol,2013,77207,21953.0
Toyota,Yaris,1.2,Petrol,2006,80009,7216.0
Toyota,Prius,1.4,Hybrid,1993,190452,2136.0
Toyota,Yaris,1.0,Petrol,2010,71344,9123.0
Toyota,Prius,1.8,Hybrid,2002,129589,7318.0
Ford,Fiesta,1.2,Petrol,2019,13616,22286.0
Porsche,718 Cayman,4.0,Petrol,2001,98176,13871.0
VW,Golf,1.2,Hybrid,2018,21628,29173.0
Toyota,RAV4,2.4,Hybrid,2000,178650,5806.0
Ford,Mondeo,2.0,Diesel,1989,254287,919.0
Ford,Mondeo,1.8,Diesel,2018,23718,36453.0
Toyota,RAV4,2.4,Hybrid,1997,101392,8818.0
Porsche,911,2.2,Petrol,1997,197573,6209.0
Ford,Focus,1.4,Diesel,1995,246372,1245.0
VW,Polo,1.2,Petrol,2004,101992,4785.0
VW,Polo,2.0,Petrol,2011,65813,12682.0
VW,Polo,1.4,Petrol,1998,113796,3172.0
VW,Golf,1.4,Petrol,1996,135298,2788.0
Toyota,RAV4,2.2,Hybrid,2015,35448,43415.0
VW,Polo,1.4,Petrol,2017,56267,16839.0
BMW,M5,4.4,Petrol,2011,32460,65039.0
Toyota,RAV4,2.0,Hybrid,2001,118776,9225.0
Ford,Focus,1.0,Petrol,2010,41149,13846.0
Toyota,Prius,1.8,Hybrid,2014,21520,33842.0
VW,Polo,1.4,Petrol,2013,56170,12905.0
Ford,Mondeo,2.0,Hybrid,2016,19617,39316.0
VW,Passat,2.0,Diesel,2004,81948,11073.0
BMW,Z4,3.0,Petrol,1999,170858,4891.0
VW,Polo,1.2,Petrol,2010,88825,7851.0
VW,Polo,1.4,Petrol,2006,142313,4327.0
Toyota,Yaris,1.2,Petrol,2004,71862,6675.0
VW,Passat,1.4,Diesel,2011,107468,12293.0
VW,Passat,2.0,Diesel,2000,120673,6385.0
Toyota,Prius,1.8,Hybrid,2004,109784,9736.0
Ford,Mondeo,1.8,Diesel,2015,68436,22692.0
Toyota,Yaris,1.4,Petrol,1996,132518,2710.0
VW,Golf,1.6,Hybrid,1991,111717,3077.0
Toyota,Yaris,1.2,Hybrid,1996,64039,4949.0
Ford,Focus,1.6,Diesel,1985,210690,944.0
Ford,Focus,2.0,Diesel,1994,173371,2665.0
BMW,M5,5.0,Petrol,2008,56790,48940.0
Ford,Focus,1.6,Petrol,2001,132553,5062.0
Porsche,911,2.2,Petrol,1992,229623,3340.0
Ford,Fiesta,1.0,Petrol,2011,56641,9273.0
VW,Golf,1.8,Petrol,2022,11142,41142.0
VW,Golf,2.0,Diesel,1996,166740,2705.0
VW,Polo,1.0,Petrol,2007,105711,5191.0
Ford,Mondeo,1.8,Diesel,2002,113654,6911.0
VW,Passat,1.4,Diesel,2003,120611,6528.0
VW,Polo,1.4,Petrol,2006,67547,7516.0
Ford,Fiesta,1.2,Petrol,2011,48593,10685.0
VW,Polo,1.2,Petrol,1997,137580,2283.0
Toyota,Prius,1.8,Hybrid,1996,167029,3616.0
Ford,Mondeo,1.4,Diesel,1992,224433,1234.0
BMW,M5,4.0,Petrol,1993,266047,2909.0
Porsche,Cayenne,3.5,Diesel,1997,103994,11839.0
Ford,Focus,2.0,Petrol,1987,332878,366.0
Toyota,RAV4,2.4,Hybrid,2000,212143,4330.0
Ford,Fiesta,1.0,Petrol,2001,135656,2693.0
Toyota,RAV4,2.0,Hybrid,2019,20799,58749.0
VW,Golf,2.0,Diesel,1994,125231,3315.0
VW,Polo,2.0,Petrol,2003,113766,5293.0
VW,Passat,1.8,Petrol,2018,14279,38624.0
BMW,Z4,3.0,Petrol,1991,178330,2692.0
Ford,Focus,1.8,Diesel,2002,88377,8395.0
Porsche,Cayenne,4.0,Diesel,1997,225352,4606.0
VW,Golf,1.2,Petrol,2004,127463,4681.0
Toyota,Yaris,1.0,Hybrid,2011,84166,10718.0
VW,Golf,1.8,Diesel,1996,108846,4072.0
Toyota,Prius,1.4,Hybrid,1992,106334,3958.0
VW,Polo,1.6,Petrol,1997,89830,3783.0
BMW,M5,5.0,Petrol,2014,27239,87259.0
Ford,Mondeo,1.8,Diesel,1998,102030,5773.0
VW,Polo,2.0,Petrol,1999,141040,3276.0
VW,Polo,2.0,Petrol,2011,83182,11273.0
Ford,Mondeo,1.8,Diesel,2008,126736,9324.0
BMW,X3,2.0,Diesel,2014,63096,27107.0
BMW,Z4,2.4,Petrol,1997,107570,6350.0
VW,Golf,1.2,Petrol,1991,111639,2221.0
VW,Passat,1.6,Diesel,2022,4300,52596.0
Ford,Fiesta,1.2,Petrol,2018,17939,20369.0
Ford,Mondeo,1.8,Diesel,1997,104070,5320.0
BMW,Z4,2.0,Petrol,2006,109728,10393.0
Toyota,RAV4,2.4,Hybrid,2011,59666,29913.0
Toyota,Yaris,1.2,Hybrid,2014,32583,19962.0
VW,Polo,1.4,Petrol,1999,116252,3328.0
Toyota,Prius,1.4,Hybrid,1994,298542,847.0
VW,Passat,1.4,Diesel,2016,38017,27373.0
Toyota,Yaris,1.0,Petrol,1995,267011,660.0
Toyota,Prius,1.8,Hybrid,2009,67079,18377.0
VW,Polo,2.0,Petrol,1991,146946,1832.0
Ford,Fiesta,1.2,Petrol,1992,212682,842.0
Ford,Focus,1.0,Petrol,2002,118808,4761.0
Ford,Mondeo,2.0,Hybrid,2005,91012,12012.0
Ford,Mondeo,1.4,Hybrid,2012,48012,21347.0
Ford,Fiesta,1.0,Petrol,1999,204012,1324.0
VW,Polo,1.4,Petrol,1986,260477,404.0
VW,Polo,1.0,Petrol,2008,79628,6689.0
Porsche,718 Cayman,4.0,Petrol,2007,42085,30090.0
Toyota,Yaris,1.2,Hybrid,2017,21318,25990.0
Toyota,Prius,1.8,Hybrid,1994,132870,4184.0
Toyota,RAV4,1.8,Hybrid,2011,62417,25448.0
Toyota,RAV4,2.2,Hybrid,2010,80638,23288.0
Ford,Fiesta,1.2,Petrol,1989,215197,674.0
Ford,Mondeo,1.8,Diesel,2004,54376,11940.0
Toyota,Prius,1.8,Hybrid,1995,147723,3969.0
VW,Polo,1.6,Petrol,1993,235912,864.0
VW,Polo,1.2,Petrol,2014,63925,12148.0
VW,Passat,1.4,Diesel,1997,123034,4294.0
VW,Passat,1.4,Diesel,1995,261426,1134.0
BMW,Z4,2.2,Petrol,2009,101315,14171.0
VW,Passat,1.4,Petrol,2003,83071,8190.0
BMW,Z4,2.2,Petrol,2020,18076,50393.0
Toyota,Prius,1.0,Hybrid,1987,270297,586.0
Ford,Mondeo,1.8,Diesel,2005,118801,8117.0
Toyota,Yaris,1.2,Hybrid,1996,186444,1924.0
Ford,Focus,1.0,Diesel,2012,61235,14652.0
VW,Polo,1.6,Petrol,2020,17456,27654.0
Ford,Focus,1.8,Petrol,2011,104301,12982.0
Toyota,RAV4,2.2,Petrol,1994,230315,1966.0
VW,Polo,1.6,Petrol,1997,185703,1765.0
Toyota,RAV4,2.4,Hybrid,2005,158892,9573.0
BMW,M5,4.0,Petrol,1996,194206,6819.0
Ford,Focus,2.0,Petrol,2004,105988,8475.0
Ford,Focus,2.0,Petrol,2007,61980,14072.0
Toyota,Yaris,1.2,Petrol,2006,102636,6140.0
Toyota,Prius,1.0,Hybrid,2007,49261,13439.0
Ford,Mondeo,2.0,Diesel,1996,270210,1263.0
Ford,Fiesta,1.0,Petrol,2015,36476,13703.0
VW,Golf,1.6,Petrol,2005,84993,7920.0
Ford,Mondeo,2.0,Diesel,1997,213998,2262.0
BMW,Z4,2.2,Petrol,1990,216104,1548.0
Ford,Fiesta,1.4,Diesel,2004,150892,3613.0
VW,Polo,2.0,Petrol,2016,62316,18109.0
Toyota,RAV4,2.2,Petrol,2003,133788,8195.0
Toyota,Yaris,1.4,Hybrid,2015,52596,20421.0
Ford,Fiesta,1.4,Petrol,2014,38891,14952.0
Ford,Mondeo,1.6,Diesel,1993,219761,1471.0
VW,Polo,1.4,Petrol,2019,28006,22820.0
VW,Polo,1.4,Petrol,2003,137170,3691.0
Ford,Focus,1.8,Petrol,2003,84317,8794.0
